,game_id,season,season_tag,seq,date,stadium,source_release,source_range,source_url,source_json,team,opponent,is_home,runs_scored,runs_allowed,run_diff,win,early_runs,middle_runs,late_runs,scored_first,led_after_3,led_after_6,AB,H,BB,SO,double,triple,HR,extra_base_hits,power_score,run_per_hit,offense_pressure_score,outs_pitched,innings_pitched,hits_allowed,bb_allowed,hr_allowed,so_pitched,whip_like,strikeout_walk_ratio,run_prevention_score,home_away_label,result_label,run_diff_label,scoring_level,allowing_level,game_flow_label,offense_label,defense_label,month,season_wang,seq_wang,date_wang,stadium_wang,opponent_wang,is_home_wang,runs_scored_wang,runs_allowed_wang,run_diff_wang,win_wang,home_away_label_wang,result_label_wang,run_diff_label_wang,scoring_level_wang,allowing_level_wang,early_runs_wang,middle_runs_wang,late_runs_wang,scored_first_wang,led_after_3_wang,led_after_6_wang,game_flow_label_wang,AB_wang,H_wang,BB_wang,SO_wang,double_wang,triple_wang,HR_wang,extra_base_hits_wang,power_score_wang,run_per_hit_wang,offense_pressure_score_wang,offense_label_wang,outs_pitched_wang,innings_pitched_wang,hits_allowed_wang,bb_allowed_wang,hr_allowed_wang,so_pitched_wang,whip_like_wang,strikeout_walk_ratio_wang,run_prevention_score_wang,defense_label_wang
600,CPBL-2024-xa-213,中職2024年,2024,213,2024-10-11 18:35:00,樂天桃園棒球場,v0.1.0-2024,G1-G360 regular season,https://github.com/rebas-tw/rebas.tw-open-data/releases/download/v0.1.0-2024/CPBL-2024-OpenData.zip,CPBL-2024-OpenData/CPBL-2024-OpenData.json,統一7-ELEVEn獅,樂天桃猿,False,0,6,-6,0,0,0,0,0,0,0,30,4,1,6,0,0,0,0,0,0.0,-2.0,24,8.0,15,4,0,5,2.375,1.25,-5,客場,敗,大敗,低得分,高失分,一般拉鋸型,攻勢受阻,失分偏高,10,中職2024年,213.0,2024-10-11 18:35,樂天桃園棒球場,樂天桃猿,False,0.0,6.0,-6.0,False,客場,敗,大敗,低得分,高失分,0.0,0.0,0.0,False,False,False,被壓制型,30.0,4.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,低效進攻,24.0,8.0,15.0,4.0,0.0,5.0,2.375,1.25,-5.0,投打被突破
601,CPBL-2024-xa-213,中職2024年,2024,213,2024-10-11 18:35:00,樂天桃園棒球場,v0.1.0-2024,G1-G360 regular season,https://github.com/rebas-tw/rebas.tw-open-data/releases/download/v0.1.0-2024/CPBL-2024-OpenData.zip,CPBL-2024-OpenData/CPBL-2024-OpenData.json,樂天桃猿,統一7-ELEVEn獅,True,6,0,6,1,6,0,0,1,1,1,36,15,4,5,0,0,0,0,0,0.4,7.5,27,9.0,4,1,0,6,0.5555555555555556,6.0,5,主場,勝,大勝,高得分,低失分,領先守成型,穩定攻擊,壓制力強,10,中職2024年,213.0,2024-10-11 18:35,樂天桃園棒球場,統一7-ELEVEn獅,True,6.0,0.0,6.0,True,主場,勝,大勝,高得分,低失分,6.0,0.0,0.0,True,True,True,全場壓制型,36.0,15.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.4,7.5,穩定攻擊,27.0,9.0,4.0,1.0,0.0,6.0,0.555555555555556,6.0,5.0,壓制力強
602,CPBL-2024-xa-344,中職2024年,2024,344,2024-10-10 17:05:00,新北市立新莊棒球場,v0.1.0-2024,G1-G360 regular season,https://github.com/rebas-tw/rebas.tw-open-data/releases/download/v0.1.0-2024/CPBL-2024-OpenData.zip,CPBL-2024-OpenData/CPBL-2024-OpenData.json,統一7-ELEVEn獅,富邦悍將,False,2,4,-2,0,2,0,0,0,0,0,31,7,4,6,2,0,0,2,2,0.2857142857142857,5.0,24,8.0,5,2,0,6,0.875,3.0,0,客場,敗,小敗,低得分,中等失分,一般拉鋸型,穩定攻擊,穩定守成,10,中職2024年,344.0,2024-10-10 17:05,新北市立新莊棒球場,富邦悍將,False,2.0,4.0,-2.0,False,客場,敗,小敗,低得分,中等失分,2.0,0.0,0.0,False,False,False,被壓制型,31.0,7.0,4.0,6.0,2.0,0.0,0.0,2.0,2.0,0.285714285714286,5.0,低效進攻,24.0,8.0,5.0,2.0,0.0,6.0,0.875,3.0,0.0,穩定守成
603,CPBL-2024-xa-344,中職2024年,2024,344,2024-10-10 17:05:00,新北市立新莊棒球場,v0.1.0-2024,G1-G360 regular season,https://github.com/rebas-tw/rebas.tw-open-data/releases/download/v0.1.0-2024/CPBL-2024-OpenData.zip,CPBL-2024-OpenData/CPBL-2024-OpenData.json,富邦悍將,統一7-ELEVEn獅,True,4,2,2,1,2,2,0,1,0,1,30,5,2,6,1,0,0,1,1,0.8,4.0,27,9.0,7,4,0,6,1.2222222222222223,1.5,0,主場,勝,中幅勝,中等得分,低失分,領先守成型,穩定攻擊,穩定守成,10,中職2024年,344.0,2024-10-10 17:05,新北市立新莊棒球場,統一7-ELEVEn獅,True,4.0,2.0,2.0,True,主場,勝,小勝,中等得分,低失分,2.0,2.0,0.0,True,False,True,拉鋸型,30.0,5.0,2.0,6.0,1.0,0.0,0.0,1.0,1.0,0.8,4.0,零星攻勢,27.0,9.0,7.0,4.0,0.0,6.0,1.22222222222222,1.5,0.0,穩定守成
604,CPBL-2024-xa-342,中職2024年,2024,342,2024-10-10 17:05:00,澄清湖棒球場,v0.1.0-2024,G1-G360 regular season,https://github.com/rebas-tw/rebas.tw-open-data/releases/download/v0.1.0-2024/CPBL-2024-OpenData.zip,CPBL-2024-OpenData/CPBL-2024-OpenData.json,樂天桃猿,台鋼雄鷹,False,1,12,-11,0,0,0,1,0,0,0,34,7,2,9,2,0,0,2,2,0.14285714285714285,0.5,24,8.0,16,5,1,5,2.625,1.0,-13,客場,敗,大敗,低得分,高失分,一般拉鋸型,攻勢受阻,失分偏高,10,中職2024年,342.0,2024-10-10 17:05,澄清湖棒球場,台鋼雄鷹,False,1.0,12.0,-11.0,False,客場,敗,大敗,低得分,高失分,0.0,0.0,1.0,False,False,False,被壓制型,34.0,7.0,2.0,9.0,2.0,0.0,0.0,2.0,2.0,0.142857142857143,0.5,攻勢受阻,24.0,8.0,16.0,5.0,1.0,5.0,2.625,1.0,-13.0,投打被突破
605,CPBL-2024-xa-342,中職2024年,2024,342,2024-10-10 17:05:00,澄清湖棒球場,v0.1.0-2024,G1-G360 regular season,https://github.com/rebas-tw/rebas.tw-open-data/releases/download/v0.1.0-2024/CPBL-2024-OpenData.zip,CPBL-2024-OpenData/CPBL-2024-OpenData.json,台鋼雄鷹,樂天桃猿,True,12,1,11,1,5,3,4,1,1,1,42,16,5,5,1,2,1,4,8,0.75,18.5,27,9.0,7,2,0,9,1.0,4.5,6,主場,勝,大勝,高得分,低失分,領先守成型,火力強勢,壓制力強,10,中職2024年,342.0,2024-10-10 17:05,澄清湖棒球場,樂天桃猿,True,12.0,1.0,11.0,True,主場,勝,大勝,高得分,低失分,5.0,3.0,4.0,True,True,True,全場壓制型,42.0,16.0,5.0,5.0,1.0,2.0,1.0,4.0,8.0,0.75,18.5,火力強勢,27.0,9.0,7.0,2.0,0.0,9.0,1.0,4.5,6.0,壓制力強
606,CPBL-2024-xa-218,中職2024年,2024,218,2024-10-09 18:35:00,臺南市立棒球場,v0.1.0-2024,G1-G360 regular season,https://github.com/rebas-tw/rebas.tw-open-data/releases/download/v0.1.0-2024/CPBL-2024-OpenData.zip,CPBL-2024-OpenData/CPBL-2024-OpenData.json,味全龍,統一7-ELEVEn獅,False,0,4,-4,0,0,0,0,0,0,0,31,6,0,8,0,0,0,0,0,0.0,-4.0,24,8.0,8,3,2,3,1.375,1.0,-6,客場,敗,大敗,低得分,中等失分,一般拉鋸型,攻勢受阻,失分偏高,10,中職2024年,218.0,2024-10-09 18:35,臺南市立棒球場,統一7-ELEVEn獅,False,0.0,4.0,-4.0,False,客場,敗,小敗,低得分,中等失分,0.0,0.0,0.0,False,False,False,被壓制型,31.0,6.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,攻勢受阻,24.0,8.0,8.0,3.0,2.0,3.0,1.375,1.0,-6.0,普通防守
607,CPBL-2024-xa-218,中職2024年,2024,218,2024-10-09 18:35:00,臺南市立棒球場,v0.1.0-2024,G1-G360 regular season,https://github.com/rebas-tw/rebas.tw-open-data/releases/download/v0.1.0-2024/CPBL-2024-OpenData.zip,CPBL-2024-OpenData/CPBL-2024-OpenData.json,統一7-ELEVEn獅,味全龍,True,4,0,4,1,2,1,1,1,1,1,30,8,3,3,1,0,2,3,7,0.5,8.5,27,9.0,6,0,0,8,0.6666666666666666,8.0,8,主場,勝,中幅勝,中等得分,低失分,領先守成型,火力強勢,壓制力強,10,中職2024年,218.0,2024-10-09 18:35,臺南市立棒球場,味全龍,True,4.0,0.0,4.0,True,主場,勝,小勝,中等得分,低失分,2.0,1.0,1.0,True,True,True,全場壓制型,30.0,8.0,3.0,3.0,1.0,0.0,2.0,3.0,7.0,0.5,8.5,穩定攻擊,27.0,9.0,6.0,0.0,0.0,8.0,0.666666666666667,8.0,8.0,壓制力強
608,CPBL-2024-xa-217,中職2024年,2024,217,2024-10-09 18:35:00,樂天桃園棒球場,v0.1.0-2024,G1-G360 regular season,https://github.com/rebas-tw/rebas.tw-open-data/releases/download/v0.1.0-2024/CPBL-2024-OpenData.zip,CPBL-2024-OpenData/CPBL-2024-OpenData.json,中信兄弟,樂天桃猿,False,5,4,1,1,1,0,2,0,0,0,39,7,5,14,1,1,0,2,3,0.7142857142857143,5.0,33,11.0,11,6,0,8,1.5454545454545454,1.3333333333333333,-2,客場,勝,小勝,中等得分,中等失分,後段逆轉型,穩定攻擊,穩定守成,10,中職2024年,217.0,2024-10-09 18:35,樂天桃園棒球場,樂天桃猿,False,5.0,4.0,1.0,True,客場,勝,小勝,中等得分,中等失分,1.0,0.0,2.0,False,False,False,後段逆轉型,39.0,7.0,5.0,14.0,1.0,1.0,0.0,2.0,3.0,0.714285714285714,5.0,零星攻勢,33.0,11.0,11.0,6.0,0.0,8.0,1.54545454545455,1.33333333333333,-2.0,普通防守
609,CPBL-2024-xa-217,中職2024年,2024,217,2024-10-09 18:35:00,樂天桃園棒球場,v0.1.0-2024,G1-G360 regular season,https://github.com/rebas-tw/rebas.tw-open-data/releases/download/v0.1.0-2024/CPBL-2024-OpenData.zip,CPBL-2024-OpenData/CPBL-2024-OpenData.json,樂天桃猿,中信兄弟,True,4,5,-1,0,2,1,0,0,1,1,39,11,6,8,1,0,0,1,1,0.36363636363636365,7.0,33,11.0,7,5,0,14,1.0909090909090908,2.8,4,主場,敗,小敗,中等得分,中等失分,後段失守型,穩定攻擊,壓制力強,10,中職2024年,217.0,2024-10-09 18:35,樂天桃園棒球場,中信兄弟,True,4.0,5.0,-1.0,False,主場,敗,小敗,中等得分,中等失分,2.0,1.0,0.0,False,True,True,拉鋸型,39.0,11.0,6.0,8.0,1.0,0.0,0.0,1.0,1.0,0.363636363636364,7.0,穩定攻擊,33.0,11.0,7.0,5.0,0.0,14.0,1.09090909090909,2.8,4.0,失分偏高
