,feature,n_compared,equality_rate,pearson_r
1,seq,720,0.0,1.0
2,date,720,0.0,
6,runs_scored,720,0.0,1.0
7,runs_allowed,720,0.0,1.0
9,win,720,0.0,1.0
15,early_runs,720,0.0,1.0
8,run_diff,720,0.0,1.0
28,HR,720,0.0,1.0
24,BB,720,0.0,1.0
23,H,720,0.0,1.0
22,AB,720,0.0,1.0
20,led_after_6,720,0.0,1.0
19,led_after_3,720,0.0,1.0
18,scored_first,720,0.0,1.0
17,late_runs,720,0.0,1.0
16,middle_runs,720,0.0,1.0
30,power_score,720,0.0,1.0
25,SO,720,0.0,1.0
26,double,720,0.0,1.0
27,triple,720,0.0,1.0
29,extra_base_hits,720,0.0,1.0
37,bb_allowed,720,0.0,1.0
38,hr_allowed,720,0.0,1.0
34,outs_pitched,720,0.0,1.0
36,hits_allowed,720,0.0,1.0
39,so_pitched,720,0.0,1.0
42,run_prevention_score,720,0.0,1.0
21,game_flow_label,720,0.1083,
40,whip_like,720,0.3458,1.0
43,defense_label,720,0.4194,
33,offense_label,720,0.4681,
31,run_per_hit,720,0.4792,1.0
12,run_diff_label,720,0.7431,
41,strikeout_walk_ratio,720,0.7833,1.0
35,innings_pitched,720,0.9653,1.0
3,stadium,720,1.0,
11,result_label,720,1.0,
10,home_away_label,720,1.0,
13,scoring_level,720,1.0,
14,allowing_level,720,1.0,
4,opponent,720,1.0,
5,is_home,720,1.0,1.0
0,season,720,1.0,
32,offense_pressure_score,720,1.0,1.0
