,feature,pearson_r,spearman_rho
0,led_after_6,0.66,0.701
1,runs_scored,0.709,0.688
2,runs_allowed,-0.709,-0.688
3,offense_pressure_score,0.656,0.637
4,run_per_hit,0.597,0.626
5,run_prevention_score,0.617,0.609
6,whip_like,-0.573,-0.558
7,hits_allowed,-0.503,-0.477
8,H,0.503,0.477
9,led_after_3,0.433,0.451
10,scored_first,0.409,0.428
11,innings_pitched,0.287,0.416
12,outs_pitched,0.287,0.416
13,power_score,0.435,0.412
14,middle_runs,0.44,0.411
15,early_runs,0.434,0.408
16,extra_base_hits,0.431,0.397
17,late_runs,0.383,0.351
18,strikeout_walk_ratio,0.261,0.314
19,HR,0.298,0.294
20,hr_allowed,-0.298,-0.294
21,double,0.295,0.257
22,BB,0.248,0.248
23,bb_allowed,-0.248,-0.248
24,AB,0.267,0.216
25,triple,0.192,0.188
26,SO,-0.184,-0.187
27,so_pitched,0.184,0.187
