,feature,pearson_r,spearman_rho
0,run_diff,0.797,0.869
1,led_after_6,0.678,0.678
2,runs_scored,0.576,0.602
3,runs_allowed,-0.555,-0.581
4,run_per_hit,0.544,0.562
5,offense_pressure_score,0.551,0.56
6,run_prevention_score,0.521,0.53
7,whip_like,-0.476,-0.476
8,outs_pitched,0.329,0.454
9,innings_pitched,0.329,0.454
10,H,0.407,0.402
11,led_after_3,0.401,0.401
12,scored_first,0.399,0.399
13,hits_allowed,-0.399,-0.396
14,middle_runs,0.351,0.357
15,early_runs,0.343,0.355
16,power_score,0.354,0.351
17,extra_base_hits,0.347,0.336
18,late_runs,0.309,0.303
19,strikeout_walk_ratio,0.244,0.286
20,HR,0.248,0.248
21,hr_allowed,-0.237,-0.237
22,SO,-0.235,-0.227
23,double,0.235,0.216
24,bb_allowed,-0.205,-0.205
25,so_pitched,0.211,0.204
26,BB,0.196,0.194
27,triple,0.149,0.15
28,AB,0.125,0.113
