,count,mean,std,min,25%,50%,75%,max
runs_scored,1320.0,4.187,3.141,0.0,2.0,4.0,6.0,22.0
runs_allowed,1320.0,4.187,3.141,0.0,2.0,4.0,6.0,22.0
run_diff,1320.0,0.0,4.456,-20.0,-3.0,0.0,3.0,20.0
early_runs,1320.0,1.34,1.717,0.0,0.0,1.0,2.0,11.0
middle_runs,1320.0,1.473,1.83,0.0,0.0,1.0,2.0,11.0
late_runs,1320.0,1.302,1.697,0.0,0.0,1.0,2.0,11.0
scored_first,1320.0,0.442,0.497,0.0,0.0,0.0,1.0,1.0
led_after_3,1320.0,0.373,0.484,0.0,0.0,0.0,1.0,1.0
led_after_6,1320.0,0.433,0.496,0.0,0.0,0.0,1.0,1.0
AB,1320.0,33.77,3.793,20.0,31.0,33.0,36.0,48.0
H,1320.0,8.852,3.446,0.0,6.0,8.0,11.0,21.0
BB,1320.0,3.064,1.942,0.0,2.0,3.0,4.0,11.0
SO,1320.0,6.505,2.736,0.0,5.0,6.0,8.0,17.0
double,1320.0,1.427,1.303,0.0,0.0,1.0,2.0,7.0
triple,1320.0,0.187,0.425,0.0,0.0,0.0,0.0,3.0
HR,1320.0,0.514,0.747,0.0,0.0,0.0,1.0,5.0
extra_base_hits,1320.0,2.128,1.598,0.0,1.0,2.0,3.0,9.0
power_score,1320.0,3.344,2.796,0.0,1.0,3.0,5.0,17.0
run_per_hit,1320.0,0.438,0.258,0.0,0.25,0.429,0.625,2.0
offense_pressure_score,1320.0,6.126,5.564,-5.5,2.0,5.5,9.5,31.0
outs_pitched,1320.0,26.604,2.011,15.0,27.0,27.0,27.0,36.0
innings_pitched,1320.0,8.868,0.67,5.0,9.0,9.0,9.0,12.0
hits_allowed,1320.0,8.852,3.446,0.0,6.0,8.0,11.0,21.0
bb_allowed,1320.0,3.064,1.942,0.0,2.0,3.0,4.0,11.0
hr_allowed,1320.0,0.514,0.747,0.0,0.0,0.0,1.0,5.0
so_pitched,1320.0,6.506,2.736,0.0,5.0,6.0,8.0,17.0
whip_like,1320.0,1.353,0.497,0.111,1.0,1.333,1.667,3.0
strikeout_walk_ratio,1320.0,3.053,2.477,0.0,1.333,2.333,4.0,15.0
run_prevention_score,1320.0,-1.259,5.564,-22.0,-5.0,-1.0,3.0,14.0
