,skew,kurtosis,missing_rate
triple,2.268,5.354,0.0
late_runs,1.738,3.752,0.0
early_runs,1.72,3.421,0.0
middle_runs,1.683,3.216,0.0
HR,1.638,3.235,0.0
hr_allowed,1.638,3.235,0.0
strikeout_walk_ratio,1.574,2.492,0.0
innings_pitched,1.117,7.003,0.0
outs_pitched,1.117,7.003,0.0
double,1.023,0.986,0.0
power_score,1.018,1.122,0.0
runs_allowed,0.919,0.942,0.0
runs_scored,0.919,0.942,0.0
extra_base_hits,0.786,0.465,0.0
bb_allowed,0.625,0.148,0.0
BB,0.625,0.148,0.0
offense_pressure_score,0.588,0.163,0.0
led_after_3,0.526,-1.723,0.0
AB,0.465,0.54,0.0
H,0.464,0.131,0.0
hits_allowed,0.464,0.131,0.0
SO,0.418,0.15,0.0
so_pitched,0.417,0.149,0.0
whip_like,0.406,-0.085,0.0
run_per_hit,0.386,0.684,0.0
run_prevention_score,-0.354,-0.035,0.0
led_after_6,0.269,-1.928,0.0
scored_first,0.232,-1.946,0.0
run_diff,0.0,0.353,0.0
