,count,mean,std,min,25%,50%,75%,max
prior_whip_like_mean_5,1320.0,0.02,0.749,-2.283,-0.519,0.0,0.481,2.387
prior_whip_like_mean_10,1320.0,0.029,0.785,-1.994,-0.487,0.0,0.513,2.845
prior_strikeout_walk_ratio_mean_5,1320.0,0.112,0.735,-1.429,-0.436,0.0,0.564,2.919
prior_strikeout_walk_ratio_mean_10,1320.0,0.101,0.731,-1.96,-0.435,0.0,0.565,3.789
prior_run_per_hit_mean_5,1320.0,0.02,0.712,-2.341,-0.484,0.0,0.516,2.399
prior_run_per_hit_mean_10,1320.0,-0.001,0.738,-3.456,-0.49,0.0,0.51,2.254
stadium_prior_run_mean,1320.0,0.136,0.861,-3.779,-0.356,0.0,0.644,5.113
opp_prior_whip_like_mean_5,1320.0,0.02,0.749,-2.283,-0.519,0.0,0.481,2.387
opp_prior_whip_like_mean_10,1320.0,0.029,0.785,-1.994,-0.487,0.0,0.513,2.845
opp_prior_strikeout_walk_ratio_mean_5,1320.0,0.112,0.735,-1.429,-0.436,0.0,0.564,2.919
opp_prior_strikeout_walk_ratio_mean_10,1320.0,0.101,0.731,-1.96,-0.435,0.0,0.565,3.789
opp_prior_run_per_hit_mean_5,1320.0,0.02,0.712,-2.341,-0.484,0.0,0.516,2.399
opp_prior_run_per_hit_mean_10,1320.0,-0.001,0.738,-3.456,-0.49,0.0,0.51,2.254
is_home,1320.0,0.0,1.0,-1.0,-1.0,0.0,1.0,1.0
prior_runs_scored_mean_5,1320.0,-0.0,1.0,-2.64,-0.707,-0.134,0.726,4.163
prior_runs_scored_mean_10,1320.0,-0.0,1.0,-3.521,-0.751,-0.082,0.682,3.166
prior_runs_allowed_mean_5,1320.0,0.0,1.0,-2.421,-0.752,0.007,0.614,4.71
prior_runs_allowed_mean_10,1320.0,-0.0,1.0,-2.367,-0.744,-0.095,0.554,3.583
prior_run_diff_mean_5,1320.0,0.0,1.0,-2.815,-0.625,0.001,0.627,3.443
prior_run_diff_mean_10,1320.0,-0.0,1.0,-2.948,-0.646,0.002,0.649,3.239
prior_win_rate_5,1320.0,0.0,1.0,-2.218,-0.403,-0.403,0.505,2.321
prior_win_rate_10,1320.0,-0.0,1.0,-3.324,-0.609,0.07,0.749,2.785
prior_scored_first_rate_5,1320.0,-0.0,1.0,-2.042,-1.117,-0.193,0.732,2.581
prior_scored_first_rate_10,1320.0,0.0,1.0,-2.886,-0.924,-0.27,0.852,2.347
prior_H_mean_5,1320.0,0.0,1.0,-3.185,-0.792,-0.036,0.719,3.364
prior_H_mean_10,1320.0,0.0,1.0,-2.678,-0.788,-0.049,0.69,3.073
prior_BB_mean_5,1320.0,-0.0,1.0,-2.839,-0.733,-0.068,0.598,2.815
prior_BB_mean_10,1320.0,0.0,1.0,-3.722,-0.673,-0.02,0.634,3.537
prior_extra_base_hits_mean_5,1320.0,-0.0,1.0,-2.684,-0.737,-0.181,0.653,4.268
prior_extra_base_hits_mean_10,1320.0,0.0,1.0,-3.024,-0.607,-0.049,0.695,3.483
prior_late_runs_mean_5,1320.0,-0.0,1.0,-1.723,-0.666,-0.137,0.656,3.563
prior_late_runs_mean_10,1320.0,-0.0,1.0,-2.336,-0.725,-0.188,0.527,3.749
days_rest,1320.0,0.0,1.0,-0.194,-0.194,-0.091,0.012,16.349
day_of_week,1320.0,0.0,1.0,-1.93,-0.846,0.238,0.78,1.322
season_to_date_win_rate,1320.0,0.0,1.0,-4.979,-0.49,0.045,0.483,5.195
season_to_date_run_diff_mean,1320.0,-0.0,1.0,-7.973,-0.489,-0.103,0.532,7.992
h2h_prior_win_rate,1320.0,0.0,1.0,-3.151,-0.549,-0.019,0.602,3.354
opp_prior_runs_scored_mean_5,1320.0,-0.0,1.0,-2.64,-0.707,-0.134,0.726,4.163
opp_prior_runs_scored_mean_10,1320.0,-0.0,1.0,-3.521,-0.751,-0.082,0.682,3.166
opp_prior_runs_allowed_mean_5,1320.0,0.0,1.0,-2.421,-0.752,0.007,0.614,4.71
opp_prior_runs_allowed_mean_10,1320.0,-0.0,1.0,-2.367,-0.744,-0.095,0.554,3.583
opp_prior_run_diff_mean_5,1320.0,-0.0,1.0,-2.815,-0.625,0.001,0.627,3.443
opp_prior_run_diff_mean_10,1320.0,-0.0,1.0,-2.948,-0.646,0.002,0.649,3.239
opp_prior_win_rate_5,1320.0,0.0,1.0,-2.218,-0.403,-0.403,0.505,2.321
opp_prior_win_rate_10,1320.0,0.0,1.0,-3.324,-0.609,0.07,0.749,2.785
opp_prior_scored_first_rate_5,1320.0,0.0,1.0,-2.042,-1.117,-0.193,0.732,2.581
opp_prior_scored_first_rate_10,1320.0,0.0,1.0,-2.886,-0.924,-0.27,0.852,2.347
opp_prior_H_mean_5,1320.0,0.0,1.0,-3.185,-0.792,-0.036,0.719,3.364
opp_prior_H_mean_10,1320.0,0.0,1.0,-2.678,-0.788,-0.049,0.69,3.073
opp_prior_BB_mean_5,1320.0,-0.0,1.0,-2.839,-0.733,-0.068,0.598,2.815
opp_prior_BB_mean_10,1320.0,0.0,1.0,-3.722,-0.673,-0.02,0.634,3.537
opp_prior_extra_base_hits_mean_5,1320.0,0.0,1.0,-2.684,-0.737,-0.181,0.653,4.268
opp_prior_extra_base_hits_mean_10,1320.0,0.0,1.0,-3.024,-0.607,-0.049,0.695,3.483
opp_prior_late_runs_mean_5,1320.0,-0.0,1.0,-1.723,-0.666,-0.137,0.656,3.563
opp_prior_late_runs_mean_10,1320.0,-0.0,1.0,-2.336,-0.725,-0.188,0.527,3.749
