,linkage,cophenetic_r,k,actual_clusters,silhouette,min_cluster_n,min_cluster_frac,balanced
0,ward,0.3273,2,2,0.1002,320,0.2424,True
1,ward,0.3273,3,3,0.0757,280,0.2121,True
2,ward,0.3273,4,4,0.052,239,0.1811,True
3,ward,0.3273,5,5,0.0341,203,0.1538,True
4,ward,0.3273,6,6,0.0382,5,0.0038,False
5,ward,0.3273,7,7,0.0355,5,0.0038,False
6,ward,0.3273,8,8,0.0381,5,0.0038,False
7,ward,0.3273,9,9,0.0419,5,0.0038,False
8,ward,0.3273,10,10,0.0392,5,0.0038,False
9,average,0.6467,2,2,0.5048,5,0.0038,False
10,average,0.6467,3,3,0.2594,2,0.0015,False
11,average,0.6467,4,4,0.171,2,0.0015,False
12,average,0.6467,5,5,0.1536,2,0.0015,False
13,average,0.6467,6,6,0.139,2,0.0015,False
14,average,0.6467,7,7,0.0777,2,0.0015,False
15,average,0.6467,8,8,0.0729,2,0.0015,False
16,average,0.6467,9,9,0.0668,2,0.0015,False
17,average,0.6467,10,10,0.0367,2,0.0015,False
18,complete,0.3774,2,2,0.0984,329,0.2492,True
19,complete,0.3774,3,3,0.0949,5,0.0038,False
20,complete,0.3774,4,4,0.0709,5,0.0038,False
21,complete,0.3774,5,5,0.0549,5,0.0038,False
22,complete,0.3774,6,6,0.0446,5,0.0038,False
23,complete,0.3774,7,7,0.039,5,0.0038,False
24,complete,0.3774,8,8,0.0215,5,0.0038,False
25,complete,0.3774,9,9,0.0206,5,0.0038,False
26,complete,0.3774,10,10,0.0268,5,0.0038,False
27,single,0.5664,2,2,0.5048,5,0.0038,False
28,single,0.5664,3,3,0.2948,1,0.0008,False
29,single,0.5664,4,4,0.2454,1,0.0008,False
30,single,0.5664,5,5,0.1992,1,0.0008,False
31,single,0.5664,6,6,0.1974,1,0.0008,False
32,single,0.5664,7,7,0.1975,1,0.0008,False
33,single,0.5664,8,8,0.1766,1,0.0008,False
34,single,0.5664,9,9,0.1574,1,0.0008,False
35,single,0.5664,10,10,0.1272,1,0.0008,False
