,feature,anova_F,anova_p,mi,z_cluster_0,z_cluster_1,combined_rank
0,prior_run_diff_mean_10,575.794,0.0,0.205,0.57,-0.54,1
1,prior_run_diff_mean_5,592.425,0.0,0.193,0.57,-0.55,2
2,opp_prior_run_diff_mean_10,532.659,0.0,0.199,-0.55,0.53,3
3,opp_prior_run_diff_mean_5,546.201,0.0,0.176,-0.55,0.53,4
4,prior_runs_scored_mean_5,401.457,0.0,0.152,0.5,-0.47,5
5,prior_win_rate_5,397.22,0.0,0.136,0.49,-0.47,6
6,opp_prior_runs_scored_mean_10,363.104,0.0,0.141,-0.48,0.46,7
7,prior_runs_scored_mean_10,374.026,0.0,0.125,0.48,-0.46,8
8,opp_prior_win_rate_10,341.038,0.0,0.139,-0.46,0.45,9
9,opp_prior_win_rate_5,376.327,0.0,0.111,-0.48,0.46,9
10,opp_prior_runs_scored_mean_5,372.888,0.0,0.12,-0.48,0.46,10
11,prior_win_rate_10,357.8,0.0,0.12,0.48,-0.45,11
12,prior_run_per_hit_mean_10,252.292,0.0,0.1,0.41,-0.39,12
13,opp_prior_run_per_hit_mean_10,233.177,0.0,0.093,-0.4,0.38,13
14,prior_run_per_hit_mean_5,284.881,0.0,0.079,0.43,-0.41,14
15,opp_prior_run_per_hit_mean_5,259.694,0.0,0.079,-0.42,0.4,14
16,season_to_date_run_diff_mean,184.023,0.0,0.095,0.36,-0.34,14
17,prior_H_mean_10,193.829,0.0,0.083,0.37,-0.35,15
18,opp_prior_H_mean_5,176.996,0.0,0.082,-0.35,0.34,16
19,opp_prior_H_mean_10,198.634,0.0,0.073,-0.37,0.36,16
20,prior_H_mean_5,181.015,0.0,0.072,0.36,-0.34,17
21,prior_runs_allowed_mean_10,126.868,0.0,0.082,-0.3,0.29,18
22,prior_extra_base_hits_mean_5,141.248,0.0,0.069,0.32,-0.3,19
23,season_to_date_win_rate,156.488,0.0,0.052,0.34,-0.32,20
24,opp_prior_extra_base_hits_mean_5,153.448,0.0,0.056,-0.33,0.32,20
25,opp_prior_extra_base_hits_mean_10,150.885,0.0,0.05,-0.33,0.32,21
26,prior_runs_allowed_mean_5,128.25,0.0,0.049,-0.31,0.29,22
27,prior_late_runs_mean_5,120.036,0.0,0.056,0.3,-0.28,22
28,opp_prior_late_runs_mean_10,112.953,0.0,0.059,-0.29,0.28,22
29,prior_late_runs_mean_10,125.309,0.0,0.047,0.3,-0.29,23
30,opp_prior_late_runs_mean_5,102.367,0.0,0.046,-0.28,0.26,24
31,prior_extra_base_hits_mean_10,137.265,0.0,0.032,0.32,-0.3,25
32,opp_prior_whip_like_mean_5,77.967,0.0,0.062,0.24,-0.23,26
33,opp_prior_runs_allowed_mean_5,120.625,0.0,0.033,0.3,-0.28,27
34,prior_BB_mean_10,96.708,0.0,0.035,0.27,-0.26,28
35,prior_whip_like_mean_5,86.704,0.0,0.045,-0.26,0.24,29
36,opp_prior_runs_allowed_mean_10,112.191,0.0,0.033,0.29,-0.28,29
37,h2h_prior_win_rate,96.495,0.0,0.034,0.27,-0.26,30
38,prior_whip_like_mean_10,78.371,0.0,0.046,-0.24,0.23,31
39,prior_BB_mean_5,81.288,0.0,0.038,0.25,-0.24,32
40,opp_prior_scored_first_rate_10,84.946,0.0,0.035,-0.25,0.24,32
41,prior_scored_first_rate_5,88.549,0.0,0.032,0.26,-0.25,33
42,opp_prior_whip_like_mean_10,63.289,0.0,0.042,0.22,-0.21,34
43,prior_scored_first_rate_10,87.52,0.0,0.031,0.26,-0.24,35
44,opp_prior_BB_mean_10,92.104,0.0,0.023,-0.26,0.25,36
45,opp_prior_scored_first_rate_5,82.521,0.0,0.028,-0.25,0.24,37
46,opp_prior_BB_mean_5,72.655,0.0,0.027,-0.23,0.22,38
47,prior_strikeout_walk_ratio_mean_5,31.889,0.0,0.001,0.16,-0.15,39
48,prior_strikeout_walk_ratio_mean_10,26.872,0.0,0.003,0.15,-0.14,39
49,opp_prior_strikeout_walk_ratio_mean_10,18.661,0.0,0.01,-0.12,0.12,40
50,opp_prior_strikeout_walk_ratio_mean_5,23.702,0.0,0.0,-0.14,0.13,41
51,stadium_prior_run_mean,5.72,0.017,0.0,0.07,-0.07,42
52,days_rest,0.21,0.647,0.0,-0.01,0.01,43
53,day_of_week,0.028,0.866,0.0,0.0,-0.0,44
54,is_home,0.003,0.956,0.0,0.0,-0.0,45
