,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24
prior_whip_like_mean_5,0.229,0.002,0.558,0.002,0.034,0.017,0.008,0.155,0.038,0.077,0.012,0.029,0.013,0.056,0.05,0.009,0.144,0.024,0.021,0.018,0.038,0.028,0.15,0.052
prior_whip_like_mean_10,0.241,0.021,0.574,0.024,0.101,0.013,0.017,0.013,0.053,0.119,0.09,0.084,0.022,0.033,0.008,0.063,0.125,0.064,0.115,0.101,0.084,0.086,0.114,0.011
prior_strikeout_walk_ratio_mean_5,0.137,0.064,0.308,0.045,0.058,0.102,0.073,0.053,0.076,0.062,0.082,0.088,0.13,0.106,0.007,0.041,0.281,0.16,0.112,0.217,0.002,0.204,0.172,0.177
prior_strikeout_walk_ratio_mean_10,0.147,0.069,0.29,0.029,0.141,0.071,0.036,0.114,0.092,0.069,0.14,0.039,0.121,0.106,0.008,0.004,0.258,0.17,0.167,0.248,0.057,0.185,0.04,0.172
prior_run_per_hit_mean_5,0.391,0.261,0.077,0.054,0.036,0.055,0.158,0.201,0.01,0.021,0.195,0.012,0.023,0.055,0.019,0.063,0.106,0.106,0.104,0.111,0.046,0.021,0.011,0.12
prior_run_per_hit_mean_10,0.4,0.297,0.107,0.08,0.065,0.009,0.155,0.009,0.002,0.133,0.101,0.089,0.162,0.176,0.082,0.049,0.161,0.076,0.073,0.071,0.002,0.028,0.078,0.076
stadium_prior_run_mean,0.092,0.129,0.001,0.03,0.002,0.104,0.099,0.094,0.104,0.175,0.074,0.396,0.098,0.011,0.036,0.033,0.045,0.067,0.247,0.023,0.3,0.285,0.244,0.223
opp_prior_whip_like_mean_5,0.205,0.03,0.054,0.577,0.077,0.02,0.004,0.061,0.012,0.049,0.045,0.008,0.006,0.031,0.012,0.069,0.12,0.085,0.034,0.018,0.021,0.044,0.12,0.083
opp_prior_whip_like_mean_10,0.206,0.049,0.074,0.584,0.118,0.009,0.039,0.028,0.154,0.033,0.013,0.074,0.03,0.007,0.02,0.001,0.128,0.017,0.028,0.149,0.051,0.065,0.13,0.01
opp_prior_strikeout_walk_ratio_mean_5,0.106,0.077,0.018,0.316,0.062,0.037,0.126,0.035,0.131,0.007,0.055,0.029,0.059,0.133,0.009,0.117,0.313,0.095,0.165,0.163,0.085,0.051,0.26,0.155
opp_prior_strikeout_walk_ratio_mean_10,0.113,0.082,0.005,0.292,0.126,0.051,0.073,0.037,0.215,0.049,0.102,0.017,0.046,0.111,0.029,0.109,0.3,0.132,0.16,0.207,0.065,0.11,0.142,0.177
opp_prior_run_per_hit_mean_5,0.332,0.352,0.059,0.038,0.002,0.113,0.099,0.024,0.192,0.128,0.132,0.081,0.018,0.014,0.072,0.027,0.137,0.031,0.012,0.157,0.12,0.001,0.013,0.139
