,feature,pc1_loading,pc2_loading,max_shap_per_cluster,in_kept_set,combined_score
36,opp_prior_run_diff_mean_10,0.623,0.572,0.055,True,1.25
6,prior_run_diff_mean_10,0.75,0.432,0.057,True,1.239
31,opp_prior_runs_scored_mean_5,0.55,0.66,,True,1.21
35,opp_prior_run_diff_mean_5,0.625,0.533,0.051,True,1.209
1,prior_runs_scored_mean_5,0.661,0.507,0.032,True,1.2
32,opp_prior_runs_scored_mean_10,0.534,0.653,,True,1.187
5,prior_run_diff_mean_5,0.733,0.381,0.057,True,1.171
2,prior_runs_scored_mean_10,0.653,0.512,,True,1.165
8,prior_win_rate_10,0.605,0.394,,True,0.999
38,opp_prior_win_rate_10,0.49,0.496,,True,0.986
37,opp_prior_win_rate_5,0.515,0.46,,True,0.975
41,opp_prior_H_mean_5,0.414,0.553,,True,0.967
42,opp_prior_H_mean_10,0.413,0.537,,True,0.95
7,prior_win_rate_5,0.61,0.339,,True,0.949
11,prior_H_mean_5,0.506,0.436,,True,0.942
12,prior_H_mean_10,0.508,0.427,,True,0.935
46,opp_prior_extra_base_hits_mean_10,0.338,0.539,,True,0.877
51,opp_prior_late_runs_mean_5,0.345,0.519,,True,0.864
16,prior_extra_base_hits_mean_10,0.424,0.43,,True,0.854
21,prior_late_runs_mean_5,0.428,0.416,,True,0.844
45,opp_prior_extra_base_hits_mean_5,0.339,0.49,,True,0.829
52,opp_prior_late_runs_mean_10,0.328,0.474,,True,0.802
15,prior_extra_base_hits_mean_5,0.414,0.382,,True,0.796
22,prior_late_runs_mean_10,0.409,0.379,,True,0.788
28,season_to_date_run_diff_mean,0.521,0.256,,True,0.777
27,season_to_date_win_rate,0.486,0.28,,True,0.766
54,opp_prior_run_per_hit_mean_10,0.328,0.383,,True,0.711
24,prior_run_per_hit_mean_10,0.4,0.297,,True,0.697
53,opp_prior_run_per_hit_mean_5,0.332,0.352,,True,0.684
23,prior_run_per_hit_mean_5,0.391,0.261,,True,0.652
44,opp_prior_BB_mean_10,0.282,0.275,,True,0.557
43,opp_prior_BB_mean_5,0.257,0.286,,True,0.543
40,opp_prior_scored_first_rate_10,0.28,0.262,,True,0.542
14,prior_BB_mean_10,0.333,0.204,,True,0.537
10,prior_scored_first_rate_10,0.336,0.199,,True,0.535
13,prior_BB_mean_5,0.308,0.219,,True,0.527
39,opp_prior_scored_first_rate_5,0.265,0.234,,True,0.499
9,prior_scored_first_rate_5,0.312,0.169,,True,0.481
4,prior_runs_allowed_mean_10,0.388,0.07,,True,0.458
34,opp_prior_runs_allowed_mean_10,0.332,0.121,,True,0.453
33,opp_prior_runs_allowed_mean_5,0.326,0.076,,True,0.402
3,prior_runs_allowed_mean_5,0.366,0.018,,True,0.384
29,h2h_prior_win_rate,0.353,0.003,,True,0.356
18,prior_whip_like_mean_10,0.241,0.021,,True,0.262
48,opp_prior_whip_like_mean_10,0.206,0.049,,True,0.255
47,opp_prior_whip_like_mean_5,0.205,0.03,,True,0.235
17,prior_whip_like_mean_5,0.229,0.002,,True,0.231
30,stadium_prior_run_mean,0.092,0.129,,True,0.221
20,prior_strikeout_walk_ratio_mean_10,0.147,0.069,,True,0.216
19,prior_strikeout_walk_ratio_mean_5,0.137,0.064,,True,0.201
50,opp_prior_strikeout_walk_ratio_mean_10,0.113,0.082,,True,0.195
49,opp_prior_strikeout_walk_ratio_mean_5,0.106,0.077,,True,0.183
25,days_rest,0.009,0.063,,True,0.072
26,day_of_week,0.0,0.024,,True,0.024
0,is_home,0.003,0.004,,True,0.007
